dataset,subject,task,n_samples,n_eeg_features,n_fmri_grid_features,tr_sec,seconds,eeg_path,fmri_path
noddi,32,rest,297,315,256,2.16,2.38,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG1/32/export/20130410320002_Segmentation_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/32/3_nw_mepi_rest_with_cross.nii.gz
noddi,35,rest,297,315,256,2.16,2.04,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG1/35/export/20130424350002_Pulse_Artifact_Correction_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/35/3_nw_mepi_rest_with_cross.nii.gz
noddi,36,rest,297,315,256,2.16,1.68,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG1/36/export/20130425360002_Pulse_Artifact_Correction_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/36/3_nw_mepi_rest_with_cross.nii.gz
noddi,37,rest,297,315,256,2.16,2.51,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG1/37/export/20130426370002_Pulse_Artifact_Correction_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/37/3_nw_mepi_rest_with_cross.nii.gz
noddi,38,rest,297,315,256,2.16,2.65,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG1/38/export/20130105380002_Pulse_Artifact_Correction_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/38/3_nw_mepi_rest_with_cross.nii.gz
noddi,39,rest,297,315,256,2.16,2.08,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG1/39/export/20130501390002_Pulse_Artifact_Correction_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/39/3_nw_mepi_rest_with_cross.nii.gz
noddi,40,rest,297,315,256,2.16,1.89,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG1/40/export/20130510400002_Pulse_Artifact_Correction_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/40/05_nw_mepi_rest_with_cross.nii.gz
noddi,42,rest,297,315,256,2.16,2.36,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG1/42/export/20130523420002_Pulse_Artifact_Correction_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/42/3_nw_mepi_rest_with_cross.nii.gz
noddi,43,rest,297,315,256,2.16,1.75,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG2/43/export/20130529430002_Pulse_Artifact_Correction_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/43/3_nw_mepi_rest_with_cross.nii.gz
noddi,44,rest,297,315,256,2.16,2.45,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG2/44/export/20130605440002_Pulse_Artifact_Correction_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/44/3_nw_mepi_rest_with_cross.nii.gz
noddi,45,rest,297,315,256,2.16,2.14,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG2/45/export/20130627450002_Pulse_Artifact_Correction_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/45/3_nw_mepi_rest_with_cross.nii.gz
noddi,46,rest,297,315,256,2.16,2.14,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG2/46/export/20130703460002_Pulse_Artifact_Correction_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/46/3_nw_mepi_rest_with_cross.nii.gz
noddi,47,rest,297,315,256,2.16,2.31,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG2/47/export/20130710470002_Pulse_Artifact_Correction_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/47/3_nw_mepi_rest_with_cross.nii.gz
noddi,48,rest,297,315,256,2.16,1.71,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG2/48/export/20130717480002_Pulse_Artifact_Correction_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/48/3_nw_mepi_rest_with_cross.nii.gz
noddi,49,rest,297,315,256,2.16,2.32,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG2/49/export/20130918490002_Pulse_Artifact_Correction_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/49/3_nw_mepi_rest_with_cross.nii.gz
noddi,50,rest,297,315,256,2.16,2.3,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/EEG2/50/export/20131003_500002_Pulse_Artifact_Correction_bin.vhdr,/home/sudaxin/projects/paired_data/catd_reproduction/data/noddi_full/fMRI/50/3_nw_mepi_rest_with_cross.nii.gz
