dataset,subject,task,n_samples,n_eeg_features,n_fmri_grid_features,tr_sec,seconds,eeg_path,fmri_path
xp1,sub-xp101,eegNF,198,320,256,2.0,7.38,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp101/eeg/sub-xp101_task-eegNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp101/func/sub-xp101_task-eegNF_bold.nii.gz
xp1,sub-xp101,fmriNF,198,320,256,2.0,6.49,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp101/eeg/sub-xp101_task-fmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp101/func/sub-xp101_task-fmriNF_bold.nii.gz
xp1,sub-xp101,eegfmriNF,198,320,256,2.0,6.53,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp101/eeg/sub-xp101_task-eegfmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp101/func/sub-xp101_task-eegfmriNF_bold.nii.gz
xp1,sub-xp102,fmriNF,198,320,256,2.0,6.94,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp102/eeg/sub-xp102_task-fmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp102/func/sub-xp102_task-fmriNF_bold.nii.gz
xp1,sub-xp102,eegfmriNF,198,320,256,2.0,7.1,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp102/eeg/sub-xp102_task-eegfmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp102/func/sub-xp102_task-eegfmriNF_bold.nii.gz
xp1,sub-xp103,eegNF,198,320,256,2.0,6.99,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp103/eeg/sub-xp103_task-eegNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp103/func/sub-xp103_task-eegNF_bold.nii.gz
xp1,sub-xp103,fmriNF,198,320,256,2.0,6.3,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp103/eeg/sub-xp103_task-fmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp103/func/sub-xp103_task-fmriNF_bold.nii.gz
xp1,sub-xp103,eegfmriNF,198,320,256,2.0,6.69,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp103/eeg/sub-xp103_task-eegfmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp103/func/sub-xp103_task-eegfmriNF_bold.nii.gz
xp1,sub-xp104,eegNF,198,320,256,2.0,7.15,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp104/eeg/sub-xp104_task-eegNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp104/func/sub-xp104_task-eegNF_bold.nii.gz
xp1,sub-xp104,fmriNF,198,320,256,2.0,6.96,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp104/eeg/sub-xp104_task-fmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp104/func/sub-xp104_task-fmriNF_bold.nii.gz
xp1,sub-xp104,eegfmriNF,198,320,256,2.0,6.69,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp104/eeg/sub-xp104_task-eegfmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp104/func/sub-xp104_task-eegfmriNF_bold.nii.gz
xp1,sub-xp105,eegNF,198,320,256,2.0,6.36,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp105/eeg/sub-xp105_task-eegNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp105/func/sub-xp105_task-eegNF_bold.nii.gz
xp1,sub-xp105,fmriNF,198,320,256,2.0,6.65,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp105/eeg/sub-xp105_task-fmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp105/func/sub-xp105_task-fmriNF_bold.nii.gz
xp1,sub-xp105,eegfmriNF,198,320,256,2.0,6.79,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp105/eeg/sub-xp105_task-eegfmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp105/func/sub-xp105_task-eegfmriNF_bold.nii.gz
xp1,sub-xp106,eegNF,198,320,256,2.0,7.22,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp106/eeg/sub-xp106_task-eegNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp106/func/sub-xp106_task-eegNF_bold.nii.gz
xp1,sub-xp106,fmriNF,198,320,256,2.0,6.57,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp106/eeg/sub-xp106_task-fmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp106/func/sub-xp106_task-fmriNF_bold.nii.gz
xp1,sub-xp106,eegfmriNF,198,320,256,2.0,3.54,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp106/eeg/sub-xp106_task-eegfmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp106/func/sub-xp106_task-eegfmriNF_bold.nii.gz
xp1,sub-xp107,eegNF,198,320,256,2.0,7.24,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp107/eeg/sub-xp107_task-eegNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp107/func/sub-xp107_task-eegNF_bold.nii.gz
xp1,sub-xp107,fmriNF,198,320,256,2.0,6.73,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp107/eeg/sub-xp107_task-fmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp107/func/sub-xp107_task-fmriNF_bold.nii.gz
xp1,sub-xp107,eegfmriNF,198,320,256,2.0,7.02,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp107/eeg/sub-xp107_task-eegfmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp107/func/sub-xp107_task-eegfmriNF_bold.nii.gz
xp1,sub-xp108,eegNF,198,320,256,2.0,7.49,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp108/eeg/sub-xp108_task-eegNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp108/func/sub-xp108_task-eegNF_bold.nii.gz
xp1,sub-xp108,fmriNF,198,320,256,2.0,6.89,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp108/eeg/sub-xp108_task-fmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp108/func/sub-xp108_task-fmriNF_bold.nii.gz
xp1,sub-xp108,eegfmriNF,198,320,256,2.0,6.62,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp108/eeg/sub-xp108_task-eegfmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp108/func/sub-xp108_task-eegfmriNF_bold.nii.gz
xp1,sub-xp109,eegNF,198,320,256,2.0,6.66,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp109/eeg/sub-xp109_task-eegNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp109/func/sub-xp109_task-eegNF_bold.nii.gz
xp1,sub-xp109,fmriNF,198,320,256,2.0,6.65,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp109/eeg/sub-xp109_task-fmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp109/func/sub-xp109_task-fmriNF_bold.nii.gz
xp1,sub-xp109,eegfmriNF,198,320,256,2.0,7.1,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp109/eeg/sub-xp109_task-eegfmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp109/func/sub-xp109_task-eegfmriNF_bold.nii.gz
xp1,sub-xp110,eegNF,198,320,256,2.0,7.05,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp110/eeg/sub-xp110_task-eegNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp110/func/sub-xp110_task-eegNF_bold.nii.gz
xp1,sub-xp110,fmriNF,198,320,256,2.0,6.57,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp110/eeg/sub-xp110_task-fmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp110/func/sub-xp110_task-fmriNF_bold.nii.gz
xp1,sub-xp110,eegfmriNF,198,320,256,2.0,6.43,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp110/eeg/sub-xp110_task-eegfmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp110/func/sub-xp110_task-eegfmriNF_bold.nii.gz
