dataset,subject,task,n_samples,n_eeg_features,n_fmri_grid_features,tr_sec,seconds,eeg_path,fmri_path
xp1,sub-xp101,motorloc,158,320,256,2.0,0.0,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp101/eeg/sub-xp101_task-motorloc_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp101/func/sub-xp101_task-motorloc_bold.nii.gz
xp1,sub-xp101,eegNF,198,320,256,2.0,0.0,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp101/eeg/sub-xp101_task-eegNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp101/func/sub-xp101_task-eegNF_bold.nii.gz
xp1,sub-xp101,fmriNF,198,320,256,2.0,0.0,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp101/eeg/sub-xp101_task-fmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp101/func/sub-xp101_task-fmriNF_bold.nii.gz
xp1,sub-xp101,eegfmriNF,198,320,256,2.0,0.0,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp101/eeg/sub-xp101_task-eegfmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp101/func/sub-xp101_task-eegfmriNF_bold.nii.gz
xp1,sub-xp102,MIpre,98,320,256,2.0,0.0,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp102/eeg/sub-xp102_task-MIpre_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp102/func/sub-xp102_task-MIpre_bold.nii.gz
xp1,sub-xp102,MIpost,98,320,256,2.0,3.45,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp102/eeg/sub-xp102_task-MIpost_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp102/func/sub-xp102_task-MIpost_bold.nii.gz
xp1,sub-xp102,motorloc,158,320,256,2.0,3.96,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp102/eeg/sub-xp102_task-motorloc_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp102/func/sub-xp102_task-motorloc_bold.nii.gz
xp1,sub-xp102,fmriNF,198,320,256,2.0,0.0,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp102/eeg/sub-xp102_task-fmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp102/func/sub-xp102_task-fmriNF_bold.nii.gz
xp1,sub-xp102,eegfmriNF,198,320,256,2.0,0.0,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp102/eeg/sub-xp102_task-eegfmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp102/func/sub-xp102_task-eegfmriNF_bold.nii.gz
xp1,sub-xp103,MIpre,98,320,256,2.0,3.01,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp103/eeg/sub-xp103_task-MIpre_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp103/func/sub-xp103_task-MIpre_bold.nii.gz
xp1,sub-xp103,MIpost,98,320,256,2.0,3.18,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp103/eeg/sub-xp103_task-MIpost_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp103/func/sub-xp103_task-MIpost_bold.nii.gz
xp1,sub-xp103,motorloc,158,320,256,2.0,4.19,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp103/eeg/sub-xp103_task-motorloc_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp103/func/sub-xp103_task-motorloc_bold.nii.gz
xp1,sub-xp103,eegNF,198,320,256,2.0,0.0,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp103/eeg/sub-xp103_task-eegNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp103/func/sub-xp103_task-eegNF_bold.nii.gz
xp1,sub-xp103,fmriNF,198,320,256,2.0,0.0,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp103/eeg/sub-xp103_task-fmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp103/func/sub-xp103_task-fmriNF_bold.nii.gz
xp1,sub-xp103,eegfmriNF,198,320,256,2.0,0.0,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp103/eeg/sub-xp103_task-eegfmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp103/func/sub-xp103_task-eegfmriNF_bold.nii.gz
xp1,sub-xp104,motorloc,158,320,256,2.0,14.18,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp104/eeg/sub-xp104_task-motorloc_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp104/func/sub-xp104_task-motorloc_bold.nii.gz
xp1,sub-xp104,eegNF,198,320,256,2.0,0.0,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp104/eeg/sub-xp104_task-eegNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp104/func/sub-xp104_task-eegNF_bold.nii.gz
xp1,sub-xp104,fmriNF,198,320,256,2.0,0.0,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp104/eeg/sub-xp104_task-fmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp104/func/sub-xp104_task-fmriNF_bold.nii.gz
xp1,sub-xp104,eegfmriNF,198,320,256,2.0,0.0,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp104/eeg/sub-xp104_task-eegfmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp104/func/sub-xp104_task-eegfmriNF_bold.nii.gz
