run_id,dataset,subject,session,run,path,target_kind,n_windows,n_lag_valid,lag_valid_frac,n_channels,n_labram_channels,n_times,target_dim,roi_mask_mean,roi_mask_min,roi_temporal_std_mean,roi_temporal_std_min,low_variance_roi_frac,raw_abs_mean,raw_abs_p99
0,Affective_music_listening_OpenNeuro_ds002725,sub-01,ses-nosession,sub-01_ses-nosession_classicalMusic_classicalMusic_run-norun,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-01_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,mni_proxy_ants_schaefer100,925,923,0.9978378378378379,46,31,383000,100,1.0,1.0,1.0,0.9999994039535522,0.0,0.886045515537262,8.0
1,Affective_music_listening_OpenNeuro_ds002725,sub-02,ses-nosession,sub-02_ses-nosession_classicalMusic_classicalMusic_run-norun,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-02_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,mni_proxy_ants_schaefer100,929,927,0.9978471474703983,46,31,379600,100,1.0,1.0,1.0,0.9999992251396179,0.0,0.7402451634407043,7.3125
2,Affective_music_listening_OpenNeuro_ds002725,sub-03,ses-nosession,sub-03_ses-nosession_classicalMusic_classicalMusic_run-norun,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-03_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,mni_proxy_ants_schaefer100,928,926,0.9978448275862069,46,31,383600,100,1.0,1.0,1.0,0.9999992847442627,0.0,0.8692285418510437,8.0
3,Affective_music_listening_OpenNeuro_ds002725,sub-04,ses-nosession,sub-04_ses-nosession_classicalMusic_classicalMusic_run-norun,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-04_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,mni_proxy_ants_schaefer100,929,927,0.9978471474703983,46,31,380200,100,1.0,1.0,0.9999999403953552,0.9999993443489075,0.0,0.8552279472351074,8.0
4,Affective_music_listening_OpenNeuro_ds002725,sub-05,ses-nosession,sub-05_ses-nosession_classicalMusic_classicalMusic_run-norun,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-05_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,mni_proxy_ants_schaefer100,929,927,0.9978471474703983,46,31,378200,100,1.0,1.0,1.0,0.9999993443489075,0.0,0.8691896200180054,8.0
5,Affective_music_listening_OpenNeuro_ds002725,sub-06,ses-nosession,sub-06_ses-nosession_classicalMusic_classicalMusic_run-norun,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-06_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,mni_proxy_ants_schaefer100,929,927,0.9978471474703983,46,31,379800,100,1.0,1.0,1.0,0.9999992847442627,0.0,0.9006081223487854,8.0
6,Affective_music_listening_OpenNeuro_ds002725,sub-07,ses-nosession,sub-07_ses-nosession_classicalMusic_classicalMusic_run-norun,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-07_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,mni_proxy_ants_schaefer100,929,927,0.9978471474703983,46,31,381000,100,1.0,1.0,1.0,0.9999992847442627,0.0,0.952544093132019,8.0
7,Affective_music_listening_OpenNeuro_ds002725,sub-08,ses-nosession,sub-08_ses-nosession_classicalMusic_classicalMusic_run-norun,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-08_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,mni_proxy_ants_schaefer100,929,927,0.9978471474703983,46,31,383800,100,1.0,1.0,1.0,0.9999994039535522,0.0,0.7527160048484802,7.0625
8,Affective_music_listening_OpenNeuro_ds002725,sub-09,ses-nosession,sub-09_ses-nosession_classicalMusic_classicalMusic_run-norun,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-09_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,mni_proxy_ants_schaefer100,929,927,0.9978471474703983,46,31,379400,100,1.0,1.0,1.0,0.999999463558197,0.0,0.8383896946907043,8.0
9,Affective_music_listening_OpenNeuro_ds002725,sub-10,ses-nosession,sub-10_ses-nosession_classicalMusic_classicalMusic_run-norun,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-10_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,mni_proxy_ants_schaefer100,929,927,0.9978471474703983,46,31,380400,100,1.0,1.0,1.0,0.9999993443489075,0.0,0.8964300751686096,8.0
